:START_ID,weight:float,:END_ID,:TYPE
289,9.5,0,CO_OCCUR_WITH
0,35.5,290,CO_OCCUR_WITH
290,35.5,0,CO_OCCUR_WITH
0,10.0,291,CO_OCCUR_WITH
291,10.0,0,CO_OCCUR_WITH
0,13.5,292,CO_OCCUR_WITH
292,13.5,0,CO_OCCUR_WITH
0,39.0,293,CO_OCCUR_WITH
293,39.0,0,CO_OCCUR_WITH
0,1.0,294,CO_OCCUR_WITH
294,1.0,0,CO_OCCUR_WITH
0,11.5,295,CO_OCCUR_WITH
295,11.5,0,CO_OCCUR_WITH
0,6.5,296,CO_OCCUR_WITH
296,6.5,0,CO_OCCUR_WITH
0,1.5,297,CO_OCCUR_WITH
297,1.5,0,CO_OCCUR_WITH
0,7.0,298,CO_OCCUR_WITH
298,7.0,0,CO_OCCUR_WITH
0,35.0,300,CO_OCCUR_WITH
300,35.0,0,CO_OCCUR_WITH
0,4.5,301,CO_OCCUR_WITH
301,4.5,0,CO_OCCUR_WITH
0,8.5,302,CO_OCCUR_WITH
302,8.5,0,CO_OCCUR_WITH
0,11.0,303,CO_OCCUR_WITH
303,11.0,0,CO_OCCUR_WITH
0,36.0,304,CO_OCCUR_WITH
304,36.0,0,CO_OCCUR_WITH
0,6.0,305,CO_OCCUR_WITH
305,6.0,0,CO_OCCUR_WITH
0,4.0,306,CO_OCCUR_WITH
306,4.0,0,CO_OCCUR_WITH
0,12.5,307,CO_OCCUR_WITH
307,12.5,0,CO_OCCUR_WITH
0,6.0,308,CO_OCCUR_WITH
308,6.0,0,CO_OCCUR_WITH
0,5.0,309,CO_OCCUR_WITH
309,5.0,0,CO_OCCUR_WITH
0,11.5,310,CO_OCCUR_WITH
310,11.5,0,CO_OCCUR_WITH
0,10.5,311,CO_OCCUR_WITH
311,10.5,0,CO_OCCUR_WITH
0,12.0,312,CO_OCCUR_WITH
312,12.0,0,CO_OCCUR_WITH
0,1.0,313,CO_OCCUR_WITH
313,1.0,0,CO_OCCUR_WITH
0,1.0,314,CO_OCCUR_WITH
314,1.0,0,CO_OCCUR_WITH
0,9.5,315,CO_OCCUR_WITH
315,9.5,0,CO_OCCUR_WITH
0,37.0,317,CO_OCCUR_WITH
317,37.0,0,CO_OCCUR_WITH
0,13.5,319,CO_OCCUR_WITH
319,13.5,0,CO_OCCUR_WITH
0,9.0,320,CO_OCCUR_WITH
